course,date,start_time,end_time
2P7/Linear Algebra[1]L Jarrett(Constance Tipper),25/02/2025,12:00,13:00
2CW/Part II Option Talk[1]L (),25/02/2025,14:00,15:00
2CW/Part II Option Talk[1]L (),25/02/2025,15:00,16:00
2CW/Lent Lab (see rota)[5]C (),26/02/2025,09:00,11:00
2P5/Electromagnetic Fields and Waves[1]L Flewitt(Constance Tipper),26/02/2025,11:00,12:00
2CW/Lent Lab (see rota)[6]C (),27/02/2025,09:00,11:00
2P1/Mechanical Engineering[2]L Cicirello(Constance Tipper),27/02/2025,12:00,13:00
2P1/Mechanical Engineering[2]L Cicirello(Constance Tipper),28/02/2025,09:00,10:00
2P7/Linear Algebra[2]L Jarrett(Constance Tipper),28/02/2025,10:00,11:00
2P6/Communications[2]L Venkataramanan(Constance Tipper),28/02/2025,14:00,15:00
2CW/Data Science Coursework[1]L Cantwell(Constance Tipper),28/02/2025,15:00,16:00
2P6/Communications[1]L Venkataramanan(Constance Tipper),03/03/2025,09:00,10:00
2P5/Electromagnetic Fields and Waves[2]L Flewitt(Constance Tipper),03/03/2025,10:00,11:00
2CW/Lent Lab (see rota)[6]C (),03/03/2025,11:00,13:00
2CW/Lent Lab (see rota)[6]C (),04/03/2025,09:00,11:00
2P8C/Paper 8: The Engineer in Business (Compulsory)[6]L Coleridge/Lu/Pollitt(Constance Tipper),04/03/2025,11:00,12:00
2P7/Linear Algebra[2]L Jarrett(Constance Tipper),04/03/2025,12:00,13:00
2CW/Lent Lab (see rota)[6]C (),05/03/2025,09:00,11:00
2P5/Electromagnetic Fields and Waves[2]L Flewitt(Constance Tipper),05/03/2025,11:00,12:00
2CW/Lent Lab (see rota)[7]C (),06/03/2025,09:00,11:00
2P1/Mechanical Engineering[3]L Cicirello(Constance Tipper),06/03/2025,12:00,13:00
2P1/Mechanical Engineering[3]L Cicirello(Constance Tipper),07/03/2025,09:00,10:00
2P7/Linear Algebra[3]L Jarrett(Constance Tipper),07/03/2025,10:00,11:00
2P6/Communications[3]L Venkataramanan(Constance Tipper),07/03/2025,14:00,15:00
2P6/Communications[2]L Venkataramanan(Constance Tipper),10/03/2025,09:00,10:00
2P5/Electromagnetic Fields and Waves[3]L Flewitt(Constance Tipper),10/03/2025,10:00,11:00
2CW/Lent Lab (see rota)[7]C (),10/03/2025,11:00,13:00
2CW/Lent Lab (see rota)[7]C (),11/03/2025,09:00,11:00
2P8C/Paper 8: The Engineer in Business (Compulsory)[7]L Coleridge/Lu/Pollitt(Constance Tipper),11/03/2025,11:00,12:00
2P7/Linear Algebra[3]L Jarrett(Constance Tipper),11/03/2025,12:00,13:00
2CW/Lent Lab (see rota)[7]C (),12/03/2025,09:00,11:00
2P5/Electromagnetic Fields and Waves[3]L Flewitt(Constance Tipper),12/03/2025,11:00,12:00
2CW/Lent Lab (see rota)[8]C (),13/03/2025,09:00,11:00
2P1/Mechanical Engineering[4]L Cicirello(Constance Tipper),13/03/2025,12:00,13:00
2P1/Mechanical Engineering[4]L Cicirello(Constance Tipper),14/03/2025,09:00,10:00
2P7/Linear Algebra[4]L Jarrett(Constance Tipper),14/03/2025,10:00,11:00
2P6/Communications[4]L Venkataramanan(Constance Tipper),14/03/2025,14:00,15:00
